id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,assignment_id,event_type
1,2019-09-30 14:13:07.549193,,,,,,f,,{},3OLQQLKKNUDEG5FBWAI9UUFPEXIEJW,AssignmentAccepted
2,2019-09-30 14:13:07.596446,,,,,,f,,{},3O7L7BFSHGDILUV5ESX9IT0P1ITEIK,AssignmentAccepted
3,2019-09-30 14:13:07.67783,,,,,,f,,{},3LBXNTKX0TJYGTTJ53HOTPMTYYH9X5,AssignmentAccepted
4,2019-09-30 14:13:07.762518,,,,,,f,,{},3RKNTXVS3OMLNAFEDYTJS90FBLU4A0,AssignmentAccepted
5,2019-09-30 14:13:08.450266,,,,,,f,,{},3KKG4CDWKKM7IR59LSFJWEPV53C49L,AssignmentAccepted
6,2019-09-30 14:13:09.969594,,,,,,f,,{},33PPUNGG3ATTPOPK025VHV2YCKKZRE,AssignmentAccepted
7,2019-09-30 14:13:10.19397,,,,,,f,,{},3Z4XG4ZF4AFY2OA90BBATTRIESYX83,AssignmentAccepted
8,2019-09-30 14:13:10.196751,,,,,,f,,{},379J5II41Q4KBV3BZVUMA9SHIMNELY,AssignmentAccepted
9,2019-09-30 14:13:11.692821,,,,,,f,,{},33LK57MYLVT5Q3PXFR50757UYM3ZS2,AssignmentAccepted
10,2019-09-30 14:13:11.727046,,,,,,f,,{},3NAPMVF0ZY3T1U2T2HYBP31RQZS72G,AssignmentAccepted
11,2019-09-30 14:13:11.735866,,,,,,f,,{},3QJOXOW4XLF4HDLWZ7V1AM76IRDEM0,AssignmentAccepted
12,2019-09-30 14:13:11.760749,,,,,,f,,{},3RRCEFRB7O0Q6KK6JCTFNKKLT3F4BV,AssignmentAccepted
13,2019-09-30 14:13:11.766707,,,,,,f,,{},3WR9XG3T65Z348HG6VHZIIYPADO74C,AssignmentAccepted
14,2019-09-30 14:13:11.913089,,,,,,f,,{},3PZDLQMM0V9ZDBXPTY6M5PT5RAJC2E,AssignmentAccepted
15,2019-09-30 14:13:24.071809,,,,,,f,,{},32Q90QCQ1U99RPLTEVILV9F2TMIEKV,AssignmentAccepted
16,2019-09-30 14:17:26.079118,,,,,,f,,{},3QJOXOW4XLF4HDLWZ7V1AM76IRDEM0,AssignmentReturned
17,2019-09-30 14:17:36.663151,,,,,,f,,{},3QJOXOW4XLF4HDLWZ7V1AM76IRDEM0,AssignmentAccepted
