id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,participant_id,number,question,response
26,2019-09-30 15:57:12.479256,,,,,,f,,{},question,30,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""2"",""ideology"":""8"",""engagement"":""8"",""difficulty"":""3"",""technical_issues"":""No issues at all."",""confusion"":""No it was very clear.""}"
27,2019-09-30 15:57:34.441876,,,,,,f,,{},question,32,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""8"",""engagement"":""7"",""difficulty"":""6"",""technical_issues"":""no"",""confusion"":""no""}"
28,2019-09-30 15:58:04.91902,,,,,,f,,{},question,31,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""8"",""engagement"":""10"",""difficulty"":""3"",""technical_issues"":""I did not"",""confusion"":""no""}"
29,2019-09-30 16:00:34.95533,,,,,,f,,{},question,33,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""1"",""ideology"":""4"",""engagement"":""10"",""difficulty"":""3"",""technical_issues"":""No issues or problems."",""confusion"":""Nothing was confusing.""}"
30,2019-09-30 16:01:40.706604,,,,,,f,,{},question,37,1,questionnaire,"{""language"":""Yes"",""education"":""3"",""age"":""3"",""ideology"":""3"",""engagement"":""8"",""difficulty"":""5"",""technical_issues"":""no"",""confusion"":""no""}"
31,2019-09-30 16:03:32.658754,,,,,,f,,{},question,36,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""3"",""ideology"":""9"",""engagement"":""10"",""difficulty"":""6"",""technical_issues"":""no"",""confusion"":""no""}"
32,2019-09-30 16:04:01.498396,,,,,,f,,{},question,34,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""engagement"":""10"",""difficulty"":""1"",""technical_issues"":""no"",""confusion"":""no""}"
33,2019-09-30 16:07:50.635195,,,,,,f,,{},question,35,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""8"",""engagement"":""10"",""difficulty"":""2"",""technical_issues"":""none"",""confusion"":""none""}"
34,2019-09-30 16:08:12.749205,,,,,,f,,{},question,40,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""2"",""ideology"":""1"",""engagement"":""10"",""difficulty"":""1"",""technical_issues"":"""",""confusion"":""""}"
35,2019-09-30 16:10:17.109794,,,,,,f,,{},question,38,1,questionnaire,"{""language"":""Yes"",""education"":""3"",""age"":""1"",""ideology"":""6"",""engagement"":""5"",""difficulty"":""6"",""technical_issues"":""No, everything seemed to work as intended."",""confusion"":""Nope, seemed clear to me.""}"
36,2019-09-30 16:10:35.905528,,,,,,f,,{},question,39,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""5"",""engagement"":""7"",""difficulty"":""4"",""technical_issues"":""no"",""confusion"":""no""}"
37,2019-09-30 16:12:43.227594,,,,,,f,,{},question,41,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""ideology"":""10"",""engagement"":""8"",""difficulty"":""7"",""technical_issues"":""no"",""confusion"":""no""}"
38,2019-09-30 16:26:24.578587,,,,,,f,,{},question,42,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""7"",""engagement"":""10"",""difficulty"":""2"",""technical_issues"":""no"",""confusion"":""no""}"
39,2019-09-30 16:27:34.061477,,,,,,f,,{},question,44,1,questionnaire,"{""language"":""Yes"",""education"":""5"",""age"":""2"",""ideology"":""6"",""engagement"":""9"",""difficulty"":""2"",""technical_issues"":""No problems."",""confusion"":""I assumed that the goal was to restate the first passage, I don't know that it was made entirely clear.""}"
40,2019-09-30 16:30:31.671589,,,,,,f,,{},question,43,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""2"",""ideology"":""6"",""engagement"":""10"",""difficulty"":""7"",""technical_issues"":""I did have an issue trying to use Chrome. Nothing would load, so I had to switch to Firefox."",""confusion"":""No, nothing confusing.""}"
48,2019-09-30 16:43:44.916973,,,,,,f,,{},question,50,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""7"",""engagement"":""10"",""difficulty"":""3"",""technical_issues"":""No issues"",""confusion"":""Everything was clear, thank you""}"
41,2019-09-30 16:35:45.906851,,,,,,f,,{},question,47,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""6"",""engagement"":""10"",""difficulty"":""2"",""technical_issues"":""no"",""confusion"":""nope""}"
42,2019-09-30 16:36:28.409916,,,,,,f,,{},question,46,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""5"",""engagement"":""5"",""difficulty"":""5"",""technical_issues"":""No"",""confusion"":""NO""}"
43,2019-09-30 16:37:33.795087,,,,,,f,,{},question,49,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""0"",""ideology"":""5"",""engagement"":""5"",""difficulty"":""3"",""technical_issues"":""Nope."",""confusion"":""Nope.""}"
44,2019-09-30 16:37:38.991271,,,,,,f,,{},question,48,1,questionnaire,"{""language"":""Yes"",""education"":""3"",""age"":""2"",""ideology"":""7"",""engagement"":""9"",""difficulty"":""2"",""technical_issues"":""Not really, just felt a little rushed because of the short time limit on the HIT!"",""confusion"":""Nope :-)""}"
45,2019-09-30 16:38:38.401532,,,,,,f,,{},question,45,1,questionnaire,"{""language"":""Yes"",""education"":""7"",""age"":""1"",""ideology"":""6"",""engagement"":""8"",""difficulty"":""4"",""technical_issues"":""No"",""confusion"":""No""}"
50,2019-09-30 16:49:44.432915,,,,,,f,,{},question,54,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""8"",""engagement"":""9"",""difficulty"":""5"",""technical_issues"":""none"",""confusion"":""none""}"
46,2019-09-30 16:41:25.617665,,,,,,f,,{},question,51,1,questionnaire,"{""language"":""Yes"",""education"":""7"",""age"":""1"",""ideology"":""8"",""engagement"":""8"",""difficulty"":""7"",""technical_issues"":""no"",""confusion"":""no""}"
47,2019-09-30 16:42:50.620497,,,,,,f,,{},question,52,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""1"",""ideology"":""8"",""engagement"":""10"",""difficulty"":""4"",""technical_issues"":""no"",""confusion"":""no ""}"
49,2019-09-30 16:47:46.949417,,,,,,f,,{},question,53,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""0"",""engagement"":""5"",""difficulty"":""8"",""technical_issues"":""not at all"",""confusion"":""nothing else""}"
51,2019-09-30 16:52:57.520127,,,,,,f,,{},question,55,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""0"",""ideology"":""9"",""engagement"":""10"",""difficulty"":""1"",""technical_issues"":""No"",""confusion"":""No""}"
52,2019-09-30 17:01:01.127864,,,,,,f,,{},question,56,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""10"",""engagement"":""10"",""difficulty"":""7"",""technical_issues"":"""",""confusion"":""""}"
53,2019-09-30 17:03:23.802391,,,,,,f,,{},question,57,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""10"",""engagement"":""9"",""difficulty"":""3"",""technical_issues"":""no"",""confusion"":""no""}"
54,2019-09-30 17:07:40.431026,,,,,,f,,{},question,58,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""2"",""engagement"":""6"",""difficulty"":""3"",""technical_issues"":""Nil"",""confusion"":""No""}"
55,2019-09-30 17:09:11.174643,,,,,,f,,{},question,60,1,questionnaire,"{""language"":""Yes"",""education"":""7"",""age"":""2"",""ideology"":""2"",""engagement"":""10"",""difficulty"":""6"",""technical_issues"":"""",""confusion"":""""}"
56,2019-09-30 17:26:12.009428,,,,,,f,,{},question,61,1,questionnaire,"{""language"":""No"",""education"":""6"",""age"":""2"",""ideology"":""5"",""engagement"":""10"",""difficulty"":""7"",""technical_issues"":""none"",""confusion"":""none""}"
57,2019-09-30 17:30:12.098318,,,,,,f,,{},question,63,1,questionnaire,"{""language"":""Yes"",""education"":""5"",""age"":""0"",""ideology"":""6"",""engagement"":""9"",""difficulty"":""4"",""technical_issues"":""Nope"",""confusion"":""Nope""}"
58,2019-09-30 17:30:26.327234,,,,,,f,,{},question,62,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""9"",""engagement"":""8"",""difficulty"":""4"",""technical_issues"":""no"",""confusion"":""no""}"
59,2019-09-30 17:35:16.041095,,,,,,f,,{},question,67,1,questionnaire,"{""language"":""Yes"",""education"":""2"",""age"":""2"",""ideology"":""4"",""engagement"":""10"",""difficulty"":""1"",""technical_issues"":""no"",""confusion"":""no""}"
60,2019-09-30 17:35:34.242906,,,,,,f,,{},question,68,1,questionnaire,"{""language"":""Yes"",""education"":""7"",""age"":""2"",""ideology"":""0"",""engagement"":""1"",""difficulty"":""10"",""technical_issues"":""There was no test just submit buttons after a period of time"",""confusion"":""it was broken""}"
61,2019-09-30 17:36:15.73971,,,,,,f,,{},question,66,1,questionnaire,"{""language"":""Yes"",""education"":""5"",""age"":""2"",""ideology"":""8"",""engagement"":""10"",""difficulty"":""7"",""technical_issues"":""nope"",""confusion"":""no""}"
62,2019-09-30 17:39:23.841602,,,,,,f,,{},question,69,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""0"",""ideology"":""7"",""engagement"":""10"",""difficulty"":""5"",""technical_issues"":"""",""confusion"":""""}"
63,2019-09-30 17:43:37.962349,,,,,,f,,{},question,70,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""7"",""engagement"":""10"",""difficulty"":""1"",""technical_issues"":""no"",""confusion"":""no""}"
64,2019-09-30 17:47:35.774039,,,,,,f,,{},question,71,1,questionnaire,"{""language"":""Yes"",""education"":""5"",""age"":""2"",""ideology"":""5"",""engagement"":""10"",""difficulty"":""5"",""technical_issues"":""None"",""confusion"":""Nothing""}"
65,2019-09-30 17:50:41.871605,,,,,,f,,{},question,72,1,questionnaire,"{""language"":""Yes"",""education"":""7"",""age"":""2"",""ideology"":""9"",""engagement"":""10"",""difficulty"":""5"",""technical_issues"":"""",""confusion"":""""}"
66,2019-09-30 17:55:02.50718,,,,,,f,,{},question,73,1,questionnaire,"{""language"":""Yes"",""education"":""1"",""age"":""1"",""ideology"":""5"",""engagement"":""7"",""difficulty"":""6"",""technical_issues"":""No"",""confusion"":""No""}"
67,2019-09-30 17:57:16.244265,,,,,,f,,{},question,74,1,questionnaire,"{""language"":""Yes"",""education"":""5"",""age"":""1"",""ideology"":""9"",""engagement"":""10"",""difficulty"":""6"",""technical_issues"":""no"",""confusion"":""no""}"
68,2019-09-30 17:59:24.182606,,,,,,f,,{},question,75,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""8"",""engagement"":""8"",""difficulty"":""4"",""technical_issues"":""no"",""confusion"":""no""}"
69,2019-09-30 18:06:08.100009,,,,,,f,,{},question,76,1,questionnaire,"{""language"":""Yes"",""education"":""5"",""age"":""1"",""ideology"":""1"",""engagement"":""5"",""difficulty"":""5"",""technical_issues"":"""",""confusion"":""""}"
70,2019-09-30 18:07:04.983844,,,,,,f,,{},question,77,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""1"",""ideology"":""6"",""engagement"":""10"",""difficulty"":""7"",""technical_issues"":""No"",""confusion"":""No""}"
71,2019-09-30 18:14:44.859929,,,,,,f,,{},question,78,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""8"",""engagement"":""10"",""difficulty"":""5"",""technical_issues"":""no"",""confusion"":""no""}"
72,2019-09-30 18:20:08.20048,,,,,,f,,{},question,79,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""2"",""engagement"":""8"",""difficulty"":""9"",""technical_issues"":""no"",""confusion"":""no""}"
73,2019-09-30 18:28:10.739673,,,,,,f,,{},question,80,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""1"",""ideology"":""10"",""engagement"":""10"",""difficulty"":""1"",""technical_issues"":""no"",""confusion"":""no""}"
74,2019-09-30 18:30:51.680484,,,,,,f,,{},question,82,1,questionnaire,"{""language"":""Yes"",""education"":""5"",""age"":""1"",""ideology"":""5"",""engagement"":""10"",""difficulty"":""1"",""technical_issues"":""i had no issues"",""confusion"":""nothing was confusing to me""}"
