id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
3,2019-09-27 15:17:16.247183,,,,,,f,,{},2,13,2
4,2019-09-27 15:17:36.83221,,,,,,f,,{},1,14,1
5,2019-09-27 15:17:44.069925,,,,,,f,,{},4,15,4
6,2019-09-27 15:19:19.641414,,,,,,f,,{},7,16,7
2,2019-09-27 15:17:03.31606,,,,,,t,2019-09-27 15:21:26.37238,{},3,12,3
1,2019-09-27 15:17:01.899603,,,,,,t,2019-09-27 15:21:50.827233,{},6,11,6
9,2019-09-27 15:24:18.423662,,,,,,t,2019-09-27 15:25:06.678441,{},8,19,8
10,2019-09-27 15:25:23.724863,,,,,,f,,{},5,20,5
8,2019-09-27 15:22:44.805571,,,,,,t,2019-09-27 15:27:56.998049,{},6,18,6
7,2019-09-27 15:22:14.393401,,,,,,t,2019-09-27 15:28:32.310987,{},9,17,9
13,2019-09-27 15:29:26.094587,,,,,,f,,{},3,23,3
14,2019-09-27 15:31:13.890854,,,,,,f,,{},8,24,8
11,2019-09-27 15:28:47.886508,,,,,,t,2019-09-27 15:33:38.045173,{},9,21,9
15,2019-09-27 15:34:56.246633,,,,,,f,,{},9,25,9
16,2019-09-27 15:42:57.46089,,,,,,t,2019-09-27 15:46:36.353642,{},6,26,6
12,2019-09-27 15:29:03.927005,,,,,,t,2019-09-27 15:49:33.506601,{},10,22,10
17,2019-09-27 15:50:55.542128,,,,,,t,2019-09-27 15:52:41.527466,{},10,27,10
18,2019-09-27 15:54:11.640922,,,,,,f,,{},6,28,6
19,2019-09-27 16:10:03.163451,,,,,,f,,{},10,29,10
20,2019-09-27 16:20:12.528822,,,,,,f,,{},20,30,5
22,2019-09-27 16:20:43.539071,,,,,,f,,{},28,32,6
21,2019-09-27 16:20:24.29418,,,,,,t,2019-09-27 16:21:20.488824,{},23,31,3
26,2019-09-27 16:24:27.3248,,,,,,f,,{},13,36,2
24,2019-09-27 16:22:35.034716,,,,,,t,2019-09-27 16:24:53.0877,{},25,34,9
27,2019-09-27 16:26:21.031516,,,,,,f,,{},14,37,1
25,2019-09-27 16:22:42.435159,,,,,,t,2019-09-27 16:31:53.76336,{},16,35,7
29,2019-09-27 16:37:33.088564,,,,,,t,2019-09-27 16:37:41.50641,{},25,39,9
30,2019-09-27 16:40:54.353878,,,,,,f,,{},25,40,9
28,2019-09-27 16:36:37.340149,,,,,,t,2019-09-27 16:42:58.346071,{},23,38,3
32,2019-09-27 16:43:47.938475,,,,,,f,,{},23,42,3
23,2019-09-27 16:21:07.943801,,,,,,t,2019-09-27 16:44:29.549842,{},29,33,10
31,2019-09-27 16:43:04.568137,,,,,,t,2019-09-27 16:45:22.34701,{},24,41,8
33,2019-09-27 16:45:43.912856,,,,,,f,,{},24,43,8
34,2019-09-27 16:46:31.541782,,,,,,f,,{},15,44,4
35,2019-09-27 16:51:48.94095,,,,,,f,,{},29,45,10
36,2019-09-27 17:14:42.708565,,,,,,f,,{},16,46,7
37,2019-09-27 17:19:49.728213,,,,,,f,,{},30,47,5
38,2019-09-27 17:20:25.457477,,,,,,f,,{},32,48,6
