id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,participant_id,number,question,response
1,2019-09-27 15:20:41.948186,,,,,,f,,{},question,3,1,questionnaire,"{""language"":""Yes"",""education"":""7"",""age"":""1"",""ideology"":""4"",""engagement"":""9"",""difficulty"":""6"",""technical_issues"":""no"",""confusion"":""no""}"
2,2019-09-27 15:21:12.816227,,,,,,f,,{},question,5,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""10"",""engagement"":""8"",""difficulty"":""5"",""technical_issues"":""No"",""confusion"":""No""}"
3,2019-09-27 15:21:40.700064,,,,,,f,,{},question,1,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""5"",""engagement"":""10"",""difficulty"":""10"",""technical_issues"":""No"",""confusion"":""No""}"
4,2019-09-27 15:24:26.500993,,,,,,f,,{},question,6,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""10"",""engagement"":""9"",""difficulty"":""6"",""technical_issues"":""None"",""confusion"":""No, not at all""}"
5,2019-09-27 15:24:52.697685,,,,,,f,,{},question,2,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""3"",""ideology"":""2"",""engagement"":""5"",""difficulty"":""3"",""technical_issues"":""no"",""confusion"":""no""}"
6,2019-09-27 15:24:58.484691,,,,,,f,,{},question,4,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""2"",""engagement"":""5"",""difficulty"":""5"",""technical_issues"":""no"",""confusion"":""no""}"
7,2019-09-27 15:26:42.445994,,,,,,f,,{},question,8,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""5"",""engagement"":""10"",""difficulty"":""9"",""technical_issues"":"""",""confusion"":""NO""}"
8,2019-09-27 15:26:43.497495,,,,,,f,,{},question,8,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""5"",""engagement"":""10"",""difficulty"":""9"",""technical_issues"":"""",""confusion"":""NO""}"
9,2019-09-27 15:28:14.002779,,,,,,f,,{},question,7,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""5"",""engagement"":""9"",""difficulty"":""5"",""technical_issues"":""none"",""confusion"":""no""}"
10,2019-09-27 15:33:05.853088,,,,,,f,,{},question,11,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""2"",""engagement"":""8"",""difficulty"":""4"",""technical_issues"":""no"",""confusion"":""no""}"
11,2019-09-27 15:35:50.12544,,,,,,f,,{},question,10,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""0"",""engagement"":""10"",""difficulty"":""2"",""technical_issues"":"""",""confusion"":""""}"
12,2019-09-27 15:36:45.637435,,,,,,f,,{},question,14,1,questionnaire,"{""language"":""Yes"",""education"":""7"",""age"":""0"",""ideology"":""8"",""engagement"":""5"",""difficulty"":""5"",""technical_issues"":""no"",""confusion"":""no""}"
13,2019-09-27 15:39:18.800798,,,,,,f,,{},question,13,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""0"",""ideology"":""7"",""engagement"":""10"",""difficulty"":""6"",""technical_issues"":"""",""confusion"":""""}"
14,2019-09-27 15:45:28.532285,,,,,,f,,{},question,15,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""5"",""engagement"":""10"",""difficulty"":""5"",""technical_issues"":""No"",""confusion"":""No""}"
15,2019-09-27 16:02:10.111017,,,,,,f,,{},question,18,1,questionnaire,"{""language"":""Yes"",""education"":""7"",""age"":""1"",""ideology"":""4"",""engagement"":""10"",""difficulty"":""5"",""technical_issues"":"""",""confusion"":""""}"
16,2019-09-27 16:18:51.326643,,,,,,f,,{},question,19,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""8"",""engagement"":""9"",""difficulty"":""7"",""technical_issues"":""no"",""confusion"":""no""}"
