id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
69,2019-09-27 18:51:30.363502,,,3,,9,t,2019-09-27 18:52:12.262442,{},particle,10,59
70,2019-09-27 19:06:36.916413,,,3,,9,t,2019-09-27 19:09:32.735228,{},particle,10,60
74,2019-09-27 19:22:45.844221,,,4,,0,f,,{},particle,1,65
71,2019-09-27 19:14:39.577753,,,3,,9,t,2019-09-27 19:17:18.065608,{},particle,10,61
72,2019-09-27 19:19:53.580267,,,3,,9,f,,{},particle,10,62
77,2019-09-27 19:29:46.895133,,,4,,8,t,2019-09-27 19:30:29.552948,{},particle,9,69
75,2019-09-27 19:23:02.827146,,,4,,2,f,,{},particle,3,63
76,2019-09-27 19:23:49.212951,,,4,,7,f,,{},particle,8,67
73,2019-09-27 19:22:41.010847,,,4,,3,t,2019-09-27 19:24:00.18819,{},particle,4,64
78,2019-09-27 19:37:01.644446,,,4,,9,t,2019-09-27 19:39:25.963022,{},particle,10,72
79,2019-09-27 19:41:48.835258,,,4,,8,f,,{},particle,9,73
80,2019-09-27 19:46:03.849861,,,4,,3,t,2019-09-27 19:51:11.890733,{},particle,4,74
81,2019-09-27 20:00:59.591325,,,4,,6,f,,{},particle,7,75
83,2019-09-27 20:16:22.763963,,,4,,5,f,,{},particle,6,77
82,2019-09-27 20:04:58.796709,,,4,,4,t,2019-09-27 20:16:55.973943,{},particle,5,76
84,2019-09-27 20:24:24.520597,,,4,,1,f,,{},particle,2,81
