id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-09-27 15:15:59.219839,,,,,,f,,{},war_of_the_ghosts_source,1,
2,2019-09-27 15:15:59.236998,,,,,,f,,{},war_of_the_ghosts_source,2,
3,2019-09-27 15:15:59.253799,,,,,,f,,{},war_of_the_ghosts_source,3,
4,2019-09-27 15:15:59.272887,,,,,,f,,{},war_of_the_ghosts_source,4,
5,2019-09-27 15:15:59.284094,,,,,,f,,{},war_of_the_ghosts_source,5,
6,2019-09-27 15:15:59.292069,,,,,,f,,{},war_of_the_ghosts_source,6,
7,2019-09-27 15:15:59.301575,,,,,,f,,{},war_of_the_ghosts_source,7,
8,2019-09-27 15:15:59.311103,,,,,,f,,{},war_of_the_ghosts_source,8,
9,2019-09-27 15:15:59.320034,,,,,,f,,{},war_of_the_ghosts_source,9,
10,2019-09-27 15:15:59.340087,,,,,,f,,{},war_of_the_ghosts_source,10,
31,2019-09-27 16:20:24.202166,,,1,,2,t,2019-09-27 16:21:20.458718,{},particle,3,21
44,2019-09-27 16:46:31.453736,,,1,,3,f,,{},particle,4,34
45,2019-09-27 16:51:48.790916,,,1,,9,f,,{},particle,10,35
13,2019-09-27 15:17:16.088264,,,0,,1,f,,{},particle,2,2
14,2019-09-27 15:17:36.739314,,,0,,0,f,,{},particle,1,5
15,2019-09-27 15:17:43.863366,,,0,,3,f,,{},particle,4,4
46,2019-09-27 17:14:42.62275,,,1,,6,f,,{},particle,7,36
16,2019-09-27 15:19:19.028358,,,0,,6,f,,{},particle,7,6
12,2019-09-27 15:17:03.108152,,,0,,2,t,2019-09-27 15:21:26.350368,{},particle,3,3
11,2019-09-27 15:17:01.742894,,,0,,5,t,2019-09-27 15:21:50.80789,{},particle,6,1
47,2019-09-27 17:19:49.68458,,,2,,4,f,,{},particle,5,37
48,2019-09-27 17:20:25.187769,,,2,,5,f,,{},particle,6,39
49,2019-09-27 17:20:37.905162,,,2,,7,f,,{},particle,8,40
19,2019-09-27 15:24:18.316468,,,0,,7,t,2019-09-27 15:25:06.662389,{},particle,8,9
20,2019-09-27 15:25:23.614433,,,0,,4,f,,{},particle,5,10
18,2019-09-27 15:22:44.555657,,,0,,5,t,2019-09-27 15:27:56.973753,{},particle,6,8
17,2019-09-27 15:22:14.289533,,,0,,8,t,2019-09-27 15:28:32.293898,{},particle,9,7
50,2019-09-27 17:20:39.31529,,,2,,3,f,,{},particle,4,38
51,2019-09-27 17:20:51.233872,,,2,,2,f,,{},particle,3,41
23,2019-09-27 15:29:25.825785,,,0,,2,f,,{},particle,3,13
24,2019-09-27 15:31:13.77366,,,0,,7,f,,{},particle,8,14
21,2019-09-27 15:28:47.549121,,,0,,8,t,2019-09-27 15:33:37.714993,{},particle,9,11
25,2019-09-27 15:34:56.190441,,,0,,8,f,,{},particle,9,15
52,2019-09-27 17:20:58.088152,,,2,,6,t,2019-09-27 17:22:55.699085,{},particle,7,42
26,2019-09-27 15:42:57.217063,,,0,,5,t,2019-09-27 15:46:36.116985,{},particle,6,16
22,2019-09-27 15:29:03.684624,,,0,,9,t,2019-09-27 15:49:33.496293,{},particle,10,12
53,2019-09-27 17:22:27.541288,,,2,,1,t,2019-09-27 17:23:03.700457,{},particle,2,43
27,2019-09-27 15:50:55.329359,,,0,,9,t,2019-09-27 15:52:41.458352,{},particle,10,17
28,2019-09-27 15:54:11.414521,,,0,,5,f,,{},particle,6,18
54,2019-09-27 17:27:55.679323,,,2,,0,f,,{},particle,1,45
29,2019-09-27 16:10:03.011263,,,0,,9,f,,{},particle,10,19
30,2019-09-27 16:20:12.47701,,,1,,4,f,,{},particle,5,20
55,2019-09-27 17:27:57.469504,,,2,,6,f,,{},particle,7,44
32,2019-09-27 16:20:43.470198,,,1,,5,f,,{},particle,6,22
56,2019-09-27 17:28:13.429321,,,2,,9,t,2019-09-27 17:32:04.164556,{},particle,10,46
57,2019-09-27 17:34:23.61722,,,2,,8,f,,{},particle,9,47
36,2019-09-27 16:24:27.146081,,,1,,1,f,,{},particle,2,26
34,2019-09-27 16:22:34.967804,,,1,,8,t,2019-09-27 16:24:53.069432,{},particle,9,25
37,2019-09-27 16:26:20.965778,,,1,,0,f,,{},particle,1,27
35,2019-09-27 16:22:42.355338,,,1,,6,t,2019-09-27 16:31:53.746467,{},particle,7,24
58,2019-09-27 17:41:47.981952,,,2,,9,f,,{},particle,10,48
59,2019-09-27 18:13:49.996026,,,2,,1,f,,{},particle,2,49
39,2019-09-27 16:37:33.031764,,,1,,8,t,2019-09-27 16:37:41.496178,{},particle,9,29
40,2019-09-27 16:40:54.265758,,,1,,8,f,,{},particle,9,30
38,2019-09-27 16:36:37.259608,,,1,,2,t,2019-09-27 16:42:58.329506,{},particle,3,28
60,2019-09-27 18:20:12.575183,,,3,,8,f,,{},particle,9,50
61,2019-09-27 18:20:52.971052,,,3,,7,f,,{},particle,8,51
42,2019-09-27 16:43:47.873764,,,1,,2,f,,{},particle,3,32
33,2019-09-27 16:21:07.868057,,,1,,9,t,2019-09-27 16:44:29.537384,{},particle,10,23
41,2019-09-27 16:43:04.510179,,,1,,7,t,2019-09-27 16:45:22.33263,{},particle,8,31
43,2019-09-27 16:45:43.82049,,,1,,7,f,,{},particle,8,33
62,2019-09-27 18:20:59.695879,,,3,,6,f,,{},particle,7,52
63,2019-09-27 18:24:13.66317,,,3,,5,f,,{},particle,6,53
64,2019-09-27 18:27:17.626772,,,3,,0,f,,{},particle,1,54
65,2019-09-27 18:31:20.625351,,,3,,3,f,,{},particle,4,55
66,2019-09-27 18:32:46.217776,,,3,,4,f,,{},particle,5,56
67,2019-09-27 18:35:03.707281,,,3,,1,f,,{},particle,2,57
68,2019-09-27 18:48:30.811063,,,3,,2,f,,{},particle,3,58
