id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,assignment_id,event_type
45,2019-09-17 00:24:28.430692,,,,,,f,,{},3FTOP5WARHCFPF0HO3JU95DLFP60JB,AssignmentAccepted
46,2019-09-17 00:34:18.418397,,,,,,f,,{},3OS46CRSLHNJULMQ7HDULUY6NFYV6R,AssignmentReturned
47,2019-09-17 00:34:41.205146,,,,,,f,,{},3OS46CRSLHNJULMQ7HDULUY6NFYV6R,AssignmentAccepted
48,2019-09-17 00:39:57.012413,,,,,,f,,{},3VW04L3ZLVUOHPBH8JN29S8B0U5XXQ,AssignmentReturned
49,2019-09-17 00:40:15.969773,,,,,,f,,{},3VW04L3ZLVUOHPBH8JN29S8B0U5XXQ,AssignmentAccepted
50,2019-09-17 00:52:49.53475,,,,,,f,,{},3FTOP5WARHCFPF0HO3JU95DLFP60JB,AssignmentReturned
51,2019-09-17 00:52:52.985398,,,,,,f,,{},3OS46CRSLHNJULMQ7HDULUY6NFYV6R,AssignmentSubmitted
52,2019-09-17 00:53:29.422189,,,,,,f,,{},3FTOP5WARHCFPF0HO3JU95DLFP60JB,AssignmentAccepted
53,2019-09-17 00:59:59.653295,,,,,,f,,{},3FTOP5WARHCFPF0HO3JU95DLFP60JB,AssignmentSubmitted
54,2019-09-17 01:02:26.563193,,,,,,f,,{},3VW04L3ZLVUOHPBH8JN29S8B0U5XXQ,AssignmentSubmitted
