id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,participant_id,number,question,response
1,2019-09-17 12:54:13.803093,,,,,,f,,{},question,3,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""2"",""ideology"":""5"",""technical_issues"":""nope"",""confusion"":""no"",""engagement"":""8"",""difficulty"":""6""}"
2,2019-09-17 13:03:30.897322,,,,,,f,,{},question,5,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""5"",""technical_issues"":""No"",""confusion"":""No"",""engagement"":""8"",""difficulty"":""7""}"
3,2019-09-17 13:47:33.502142,,,,,,f,,{},question,9,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""5"",""technical_issues"":""no problems"",""confusion"":""no"",""engagement"":""9"",""difficulty"":""5""}"
4,2019-09-17 14:08:09.514283,,,,,,f,,{},question,11,1,questionnaire,"{""language"":""Yes"",""education"":""3"",""age"":""0"",""ideology"":""2"",""technical_issues"":""nope!"",""confusion"":""nope!"",""engagement"":""10"",""difficulty"":""2""}"
5,2019-09-17 14:11:08.890307,,,,,,f,,{},question,12,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""2"",""ideology"":""10"",""technical_issues"":""no"",""confusion"":""nothing"",""engagement"":""8"",""difficulty"":""9""}"
6,2019-09-17 14:24:16.216437,,,,,,f,,{},question,14,1,questionnaire,"{""language"":""Yes"",""education"":""3"",""age"":""3"",""ideology"":""5"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""10"",""difficulty"":""2""}"
7,2019-09-17 14:30:24.35331,,,,,,f,,{},question,13,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""6"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""6"",""difficulty"":""6""}"
