id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,participant_id,number,question,response
1,2019-09-16 17:24:42.564923,,,,,,f,,{},question,2,1,questionnaire,"{""language"":""Yes"",""education"":""3"",""age"":""2"",""ideology"":""5"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""8"",""difficulty"":""5""}"
2,2019-09-16 17:42:30.484582,,,,,,f,,{},question,3,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""0"",""ideology"":""10"",""technical_issues"":""No"",""confusion"":""No"",""engagement"":""9"",""difficulty"":""7""}"
3,2019-09-16 17:57:47.095884,,,,,,f,,{},question,4,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""6"",""technical_issues"":""No"",""confusion"":""I thought there would be more to it. I felt like it went a bit too quickly and that I missed something."",""engagement"":""9"",""difficulty"":""3""}"
4,2019-09-16 18:22:30.77322,,,,,,f,,{},question,5,1,questionnaire,"{""language"":""Yes"",""education"":""2"",""age"":""3"",""ideology"":""5"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""8"",""difficulty"":""5""}"
5,2019-09-16 19:06:42.440086,,,,,,f,,{},question,7,1,questionnaire,"{""language"":""Yes"",""education"":""2"",""age"":""1"",""ideology"":""7"",""technical_issues"":""nil"",""confusion"":""nothing"",""engagement"":""6"",""difficulty"":""7""}"
6,2019-09-16 19:06:45.017727,,,,,,f,,{},question,7,1,questionnaire,"{""language"":""Yes"",""education"":""2"",""age"":""1"",""ideology"":""7"",""technical_issues"":""nil"",""confusion"":""nothing"",""engagement"":""6"",""difficulty"":""7""}"
7,2019-09-16 19:11:38.421086,,,,,,f,,{},question,8,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""7"",""technical_issues"":""None"",""confusion"":""Nothing was confusing"",""engagement"":""9"",""difficulty"":""2""}"
8,2019-09-16 19:14:12.518786,,,,,,f,,{},question,9,1,questionnaire,"{""language"":""Yes"",""education"":""5"",""age"":""2"",""ideology"":""9"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""10"",""difficulty"":""2""}"
