id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
1,2019-09-16 17:06:44.424894,,,,,,f,,{},participant,816771ce020c9ad4f44741179b126d4b,mturk,1,3B1NLC6UG1K8MUE0XIDHRTMDV23PGZ,1:3B1NLC6UG1K8MUE0XIDHRTMDV23PGZ,3NBFJK3IOI6OEA45SGU0E9MZTKNGOP,live,2019-09-16 17:10:19.516021,,,returned
2,2019-09-16 17:15:56.857182,,,,,,f,,{},participant,cd95a68cff1ac22193a13c4c7ff3ff95,mturk,2,3B1NLC6UG1K8MUE0XIDHRTMDV23PGZ,2:3B1NLC6UG1K8MUE0XIDHRTMDV23PGZ,3NBFJK3IOI6OEA45SGU0E9MZTKNGOP,live,2019-09-16 17:24:50.884168,1.25,1.5,approved
7,2019-09-16 19:03:42.694865,,,,,,f,,{},participant,a51981ee4eb5732326827fc7354b670d,mturk,7,3COPXFW7XD0DOGAJN9YWPLE62K2PKM,7:3COPXFW7XD0DOGAJN9YWPLE62K2PKM,3NBFJK3IOI6OEA45SGU0E9MZTKNGOP,live,2019-09-16 19:07:15.300115,1.25,0.38,did_not_attend
3,2019-09-16 17:36:47.788258,,,,,,f,,{},participant,472d07db2c5d8ec9d24e22402a8ba795,mturk,3,3BXQMRHWK1ML69IIP7A6E4T9Z57MU0,3:3BXQMRHWK1ML69IIP7A6E4T9Z57MU0,3NBFJK3IOI6OEA45SGU0E9MZTKNGOP,live,2019-09-16 17:42:42.456502,1.25,1.5,approved
4,2019-09-16 17:54:09.190834,,,,,,f,,{},participant,88251008df581be2656d4871471337b6,mturk,4,3JAOYWH7VKS3GZCURKE0IVR6MGD9L2,4:3JAOYWH7VKS3GZCURKE0IVR6MGD9L2,3NBFJK3IOI6OEA45SGU0E9MZTKNGOP,live,2019-09-16 17:58:07.624703,1.25,0.26,approved
8,2019-09-16 19:07:46.549113,,,,,,f,,{},participant,6bb4955c50c31dd4da566d11e2abc73f,mturk,8,3K9FOBBF2J7O51GOSUX50WMQR5RNLC,8:3K9FOBBF2J7O51GOSUX50WMQR5RNLC,3NBFJK3IOI6OEA45SGU0E9MZTKNGOP,live,2019-09-16 19:11:48.63808,1.25,0.17,approved
5,2019-09-16 18:16:18.146162,,,,,,f,,{},participant,dcd3c19de669bdfcb3fc76b82c28b996,mturk,5,3E47SOBEYSK3OWBRI1RES50MBXMCI8,5:3E47SOBEYSK3OWBRI1RES50MBXMCI8,3NBFJK3IOI6OEA45SGU0E9MZTKNGOP,live,2019-09-16 18:22:41.337736,1.25,0.26,approved
6,2019-09-16 18:38:41.16927,,,,,,f,,{},participant,82a92167388d8dda22851f87a0491ba9,mturk,6,3COPXFW7XD0DOGAJN9YWPLE62K2PKM,6:3COPXFW7XD0DOGAJN9YWPLE62K2PKM,3NBFJK3IOI6OEA45SGU0E9MZTKNGOP,live,2019-09-16 18:48:03.73712,,,returned
9,2019-09-16 19:09:40.073755,,,,,,f,,{},participant,82ed3faf532f46726155e46e4bb641dd,mturk,9,3KMS4QQVK4E1X3LP962RDR020EFFK9,9:3KMS4QQVK4E1X3LP962RDR020EFFK9,3NBFJK3IOI6OEA45SGU0E9MZTKNGOP,live,2019-09-16 19:14:40.107737,1.25,0.17,approved
