id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
22,2019-09-27 16:20:30.912734,,,,,,f,,{},participant,83144d1800c55a8b83d1f8af1918716f,mturk,22,3WLEIWSYHQ5QUJ85FQKNGGQL368H2J,22:3WLEIWSYHQ5QUJ85FQKNGGQL368H2J,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 16:25:04.461692,1,0.26,approved
20,2019-09-27 16:19:59.741617,,,,,,f,,{},participant,05b9d09b25d975557a208a0a256689a0,mturk,20,3PMBY0YE29RADVIOE7L1FC1JWKD9CU,20:3PMBY0YE29RADVIOE7L1FC1JWKD9CU,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 16:25:20.08787,1,0.21,approved
27,2019-09-27 16:26:05.481837,,,,,,f,,{},participant,5c80b06516f5612fcf281beaf8cbbec7,mturk,27,3S96KQ6I9OS322XGC9LTQIKDBRSTDE,27:3S96KQ6I9OS322XGC9LTQIKDBRSTDE,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 16:29:33.638972,1,0.16,approved
24,2019-09-27 16:22:11.298912,,,,,,f,,{},participant,c318313c5fd59f626b5b7c716030213b,mturk,24,32VNZTT0A9SDMR1VF9F5NZPPAT2R4M,24:32VNZTT0A9SDMR1VF9F5NZPPAT2R4M,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 16:31:53.109254,1,0.24,did_not_attend
26,2019-09-27 16:24:24.714484,,,,,,f,,{},participant,11794dadab98d0dfdee9e2c060fafebe,mturk,26,3E7TUJ2EGEAKINO2E3GCZIJ1HKP9DU,26:3E7TUJ2EGEAKINO2E3GCZIJ1HKP9DU,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 16:26:29.727289,1,0.26,approved
60,2019-09-27 19:06:09.358355,,,,,,f,,{},participant,a012ed48634451c39b4a04efd5207e63,mturk,60,33NF62TLXLQH257LSWTCSPSUX0ZKJI,60:33NF62TLXLQH257LSWTCSPSUX0ZKJI,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 19:09:31.791069,1,0.04,did_not_attend
29,2019-09-27 16:37:18.869983,,,,,,f,,{},participant,115acc6e0b2041c278679ff500a87f9e,mturk,29,3IKZ72A5B642596S6JU75JH6YMPFND,29:3IKZ72A5B642596S6JU75JH6YMPFND,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 16:37:41.491539,,,returned
28,2019-09-27 16:36:34.645198,,,,,,f,,{},participant,c612f605b8a5fe6998dfb8f5f7cfb577,mturk,28,3HYA4D452T76GNHZK0WNDVE8NRVF2J,28:3HYA4D452T76GNHZK0WNDVE8NRVF2J,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 16:42:58.322375,,,returned
43,2019-09-27 17:22:24.432964,,,,,,f,,{},participant,00b940a651775eedb14dc2e99f788160,mturk,43,3WS1NTTKE00ZKDEL5DS9U7LTQU70FI,43:3WS1NTTKE00ZKDEL5DS9U7LTQU70FI,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 17:23:03.695195,,,returned
62,2019-09-27 19:19:52.123211,,,,,,f,,{},participant,15c9841dbca8b37ebd4688a5d18d9dca,mturk,62,3D3VGR7TA23S4VIRFVAMDUXJWVKR3J,62:3D3VGR7TA23S4VIRFVAMDUXJWVKR3J,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 19:21:40.31946,1,0.04,approved
32,2019-09-27 16:43:24.079749,,,,,,f,,{},participant,ba371105bd14d0453f00b5b464c2e538,mturk,32,3HYA4D452T76GNHZK0WNDVE8NRVF2J,32:3HYA4D452T76GNHZK0WNDVE8NRVF2J,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 16:50:40.128669,1,0.31,approved
30,2019-09-27 16:40:48.724012,,,,,,f,,{},participant,139a499f4a356387795d6fa17892d4a1,mturk,30,3IKZ72A5B642596S6JU75JH6YMPFND,30:3IKZ72A5B642596S6JU75JH6YMPFND,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 16:44:57.067142,1,0.31,approved
31,2019-09-27 16:43:01.890096,,,,,,f,,{},participant,f435d32afdfb8a32036edebf553a3a3d,mturk,31,35USIKEBNT46MGDH5QR3BD4T5NQ6N5,31:35USIKEBNT46MGDH5QR3BD4T5NQ6N5,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 16:45:22.325133,,,returned
34,2019-09-27 16:46:15.877349,,,,,,f,,{},participant,6ec0600a2617902b73f0edfa091b21e3,mturk,34,35USIKEBNT46MGDH5QR3BD4T5NQ6N5,34:35USIKEBNT46MGDH5QR3BD4T5NQ6N5,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 16:51:58.036828,1,0.21,approved
40,2019-09-27 17:20:28.131343,,,,,,f,,{},participant,e7b97b3fd429c56b0eaf7a42ae333c3d,mturk,40,3TE3O85732W3JDM8BVWHUKSRQG22RZ,40:3TE3O85732W3JDM8BVWHUKSRQG22RZ,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 17:25:16.612018,1,0.12,approved
