id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
1,2019-09-16 15:22:51.263379,,,,,,f,,{},participant,ab56a12f1209fc3edcde1266ab9b13a3,mturk,1,3XUHV3NRVMMITGRSX9MLENTXJ2U5H7,1:3XUHV3NRVMMITGRSX9MLENTXJ2U5H7,3DZKABX2ZJT6NIXXR6KVJAVSRLPCVA,live,2019-09-16 15:24:53.089165,1.25,0.38,did_not_attend
2,2019-09-16 15:34:49.956613,,,,,,f,,{},participant,a90049ec92ed2f345b2da54ba047503d,mturk,2,31JLPPHS2WIP7IQBN3TIJZSEHSI3O4,2:31JLPPHS2WIP7IQBN3TIJZSEHSI3O4,3DZKABX2ZJT6NIXXR6KVJAVSRLPCVA,live,2019-09-16 15:48:24.331013,1.25,0.98,approved
3,2019-09-16 15:58:07.67159,,,,,,f,,{},participant,c918c82733afa6096bf71afd27009878,mturk,3,3WZ36BJEV54AN5ZWYDUNVSWD4SJBTW,3:3WZ36BJEV54AN5ZWYDUNVSWD4SJBTW,3DZKABX2ZJT6NIXXR6KVJAVSRLPCVA,live,2019-09-16 16:05:10.584174,1.25,0.58,approved
4,2019-09-16 16:17:02.876337,,,,,,f,,{},participant,39524cd7463b18930d313e0094bd98d0,mturk,4,3YWRV122CUN6LKGEV60N9MSEF09U8B,4:3YWRV122CUN6LKGEV60N9MSEF09U8B,3DZKABX2ZJT6NIXXR6KVJAVSRLPCVA,live,2019-09-16 16:23:30.651164,1.25,0.21,approved
